OTU ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
New.CleanUp.ReferenceOTU1242132	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU12505	Syncephalis_depressa|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Piptocephalidaceae;g__Syncephalis;s__Syncephalis_depressa	Syncephalis	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1250646	Cryptococcus_amylolentus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_amylolentus	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234; Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
New.CleanUp.ReferenceOTU1256477	Penicilliopsis_clavariiformis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Trichocomaceae;g__Penicilliopsis;s__Penicilliopsis_clavariiformis	Penicilliopsis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1256655	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1256963	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1258824	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1258857	Cleistocybe_vernalis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Cleistocybe;s__Cleistocybe_vernalis	Cleistocybe	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	NULL	Ammirati JF, et al. 2007. Mycoscience 48:282-289 (https://doi.org/10.1007/S10267-007-0365-5)
New.CleanUp.ReferenceOTU1266332	Mycocalia_denudata|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Agaricaceae;g__Mycocalia;s__Mycocalia_denudata	Mycocalia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1266843	Phoma|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Dothideomycetes;g__Pleosporales;s__Phoma	Phoma	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Dung Saprotroph-Lichen Parasite-Litter Saprotroph-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Possible	NULL	Richardson MJ. 1972. Transactions of the British Mycological Society 58:37-48; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; de Gruyter J, et al. 2010. Mycologia. 102:1066-1081; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
New.CleanUp.ReferenceOTU1268189	Athelia_bombacina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Atheliaceae;g__Athelia;s__Athelia_bombacina	Athelia	13	Pathotroph-Saprotroph-Symbiotroph	Epiphyte-Leaf Saprotroph-Lichen Parasite-Lichenized-Plant Pathogen-Wood Saprotroph	Corticioid-Thallus	NULL	Possible	Lichenized and non-lichenized taxa	Adams GC, Kropp BR. 1996. Mycologia 88:459-472; Carisse O, et al. 2000. Biological Control 90:31-37; Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
New.CleanUp.ReferenceOTU1269718	Asteromassaria_olivaceohirta|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pleomassariaceae;g__Asteromassaria;s__Asteromassaria_olivaceohirta	Pleomassariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Saprobic or necrotrophic on wood, bark and herbaceous material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1273642	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1274488	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU127903	Pythium_violae|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium violae;s__Pythium_violae	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1279702	Cladophialophora_sp_CBS_98596|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Eurotiomycetes;g__Chaetothyriales;s__Cladophialophora_sp_CBS_98596	Cladophialophora	13	Saprotroph	Undefined Saprotroph	Facultative Yeast	NULL	Probable	NULL	James TY, et al. 2006. Nature 443:818-822
New.CleanUp.ReferenceOTU1281256	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1283815	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1291194	Conidiobolus_firmipilleus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ancylistaceae;g__Conidiobolus;s__Conidiobolus_firmipilleus	Ancylistaceae	9	Pathotroph-Saprotroph	Soil Saprotroph-Undefined Pathotroph	Microfungus	NULL	Probable	Mainly saprobes in the soil or on decaying leaves and other dead plant material, and some pathogens of insects, soil invertebrates, desmid algae, or facultative mycotic agents in man (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1291417	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1291940	uncultured_mycorrhizal_fungus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Glomeromycetes;g__Glomerales;s__uncultured_mycorrhizal_fungus	Glomerales	7	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531
New.CleanUp.ReferenceOTU1292504	Sowerbyella_imperialis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pyronemataceae;g__Sowerbyella;s__Sowerbyella_imperialis	Sowerbyella	13	Symbiotroph	Ectomycorrhizal	NULL	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263
New.CleanUp.ReferenceOTU1293475	Pterula_echo|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pterulaceae;g__Pterula;s__Pterula_echo	Pterula	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1293611	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1294355	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1297423	Asteromassaria_olivaceohirta|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pleomassariaceae;g__Asteromassaria;s__Asteromassaria_olivaceohirta	Pleomassariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Saprobic or necrotrophic on wood, bark and herbaceous material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1298746	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1304706	Cryptococcus_amylolentus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_amylolentus	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234; Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
New.CleanUp.ReferenceOTU1304968	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1305242	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU130751	Tapinella_atrotomentosa|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tapinellaceae;g__Tapinella;s__Tapinella_atrotomentosa	Tapinella	13	Saprotroph	Wood Saprotroph	NULL	Brown Rot	Probable	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1312893	Rhopalomyces_elegans|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Helicocephalidaceae;g__Rhopalomyces;s__Rhopalomyces_elegans	Rhopalomyces	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1315705	Genea_harknessii|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pyronemataceae;g__Genea;s__Genea_harknessii	Genea	13	Symbiotroph	Ectomycorrhizal	NULL	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
New.CleanUp.ReferenceOTU1316979	Magnaporthe_oryzae|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Magnaporthaceae;g__Magnaporthe;s__Magnaporthe_oryzae	Magnaporthe	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	Species in this genus cause rice blast and take-all; Usually necrotrophic on roots (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1319013	Mycocalia_denudata|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Agaricaceae;g__Mycocalia;s__Mycocalia_denudata	Mycocalia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1319575	Pythium_aristosporum|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium aristosporum;s__Pythium_aristosporum	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1319735	Cryptococcus_amylolentus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_amylolentus	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234; Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
New.CleanUp.ReferenceOTU132166	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1324444	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1325326	Trechispora_sp_PBM418|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Hydnodontaceae;g__Trechispora;s__Trechispora_sp_PBM418	Trechispora	13	Saprotroph	Wood Saprotroph	Corticioid	White Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 Uncertain.; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (not ECM).
New.CleanUp.ReferenceOTU132721	Orpinomyces_sp_C1A|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Neocallimastigales;g__Neocallimastigaceae;s__Orpinomyces_sp_C1A	Orpinomyces	13	Symbiotroph	Animal Endosymbiont	NULL	NULL	Probable	Animal gut fungus	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1328899	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1330472	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1334472	uncultured_Auriculariaceae|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Agaricomycotina;g__Agaricomycetes;s__uncultured_Auriculariaceae	Auriculariaceae	9	Pathotroph-Saprotroph	Plant Parasite-Wood Saprotroph	Auriculariod	NULL	Probable	Saprobic, occasionally weakly parasitic, on wood of both gymnosperms and angiosperms (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1334729	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1337868	Tulasnella_asymmetrica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tulasnellaceae;g__Tulasnella;s__Tulasnella_asymmetrica	Tulasnella	13	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Corticioid	NULL	Possible	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte)
New.CleanUp.ReferenceOTU1340242	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1341704	Pythium_violae|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium violae;s__Pythium_violae	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU134420	Candida_ancudensis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Candida;s__Candida_ancudensis	Candida	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endosymbiont-Undefined Saprotroph	Yeast	NULL	Probable	This asexual genus is polyphyletic and contain species that function very differently depend on what they are. Caution should be taken when interpreting guilds for Candida species.	Manolakaki D, et al. 2010. Virulence. 1: 367-375
New.CleanUp.ReferenceOTU1346848	Asteromassaria_olivaceohirta|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pleomassariaceae;g__Asteromassaria;s__Asteromassaria_olivaceohirta	Pleomassariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Saprobic or necrotrophic on wood, bark and herbaceous material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1347003	Cryptococcus_amylolentus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_amylolentus	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234; Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
New.CleanUp.ReferenceOTU1349631	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1350396	Pseudogymnoascus_destructans|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascomycota;g__Pezizomycotina;s__Pseudogymnoascus_destructans	Pseudogymnoascus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	NULL	NULL	Possible	It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013),and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers.Lindner DL)	Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649; Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1353652	Asteromassaria_olivaceohirta|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pleomassariaceae;g__Asteromassaria;s__Asteromassaria_olivaceohirta	Pleomassariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Saprobic or necrotrophic on wood, bark and herbaceous material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU135606	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1357838	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1358521	Mycocalia_denudata|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Agaricaceae;g__Mycocalia;s__Mycocalia_denudata	Mycocalia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1359664	Pythium_aristosporum|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium aristosporum;s__Pythium_aristosporum	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU136041	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1360793	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1362274	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
