,Treatment,Genus,Phylum,N,Abundance,sd,se,ci,Response_to_urea,Response_to_Inhibitors
213,Antibacterial,Simplicispira,Betaproteobacteria,21,91.61904762,36.22633875,7.905235212,16.4900317,Positive,Stimulated
214,Positive Control,Simplicispira,Betaproteobacteria,18,112.8333333,48.51955337,11.4361684,24.12820624,Positive,Stimulated
215,Antibacterial+Antifungal,Simplicispira,Betaproteobacteria,19,113.8947368,41.14728928,9.439835567,19.8323586,Positive,Stimulated
231,Negative Control,Sphingomonas,Alphaproteobacteria,60,23.35,26.60369861,3.434522722,6.872464093,Positive,Stimulated
232,Positive Control,Sphingomonas,Alphaproteobacteria,54,117.1666667,179.4545982,24.42067765,48.9816764,Positive,Stimulated
233,Antibacterial+Antifungal,Sphingomonas,Alphaproteobacteria,57,125.9122807,149.8549633,19.84877478,39.76187385,Positive,Stimulated
234,Antifungal,Sphingomonas,Alphaproteobacteria,51,139.9019608,205.3100343,28.74915521,57.74437767,Positive,Stimulated
235,Antibacterial,Sphingomonas,Alphaproteobacteria,63,191.2222222,258.0841601,32.51554785,64.99765402,Positive,Stimulated
256,Negative Control,Vulgatibacter,Deltaproteobacteria,20,0,0,0,0,Positive,Stimulated
257,Antifungal,Vulgatibacter,Deltaproteobacteria,17,7.117647059,7.499019544,1.818779392,3.855640072,Positive,Stimulated
258,Positive Control,Vulgatibacter,Deltaproteobacteria,18,14.16666667,13.2009358,3.111490406,6.56467093,Positive,Stimulated
259,Antibacterial+Antifungal,Vulgatibacter,Deltaproteobacteria,19,17.52631579,14.21020143,3.260043789,6.849097848,Positive,Stimulated
260,Antibacterial,Vulgatibacter,Deltaproteobacteria,21,18.19047619,13.86224746,3.024990396,6.310019394,Positive,Stimulated
261,Positive Control,Xanthomonadaceae,Gammaproteobacteria,18,9.166666667,2.874840149,0.677606321,1.429624373,Negative,Stimulated
262,Antifungal,Xanthomonadaceae,Gammaproteobacteria,17,14.52941176,6.423761039,1.557990899,3.302793162,Negative,Stimulated
263,Antibacterial,Xanthomonadaceae,Gammaproteobacteria,21,15.85714286,9.880717152,2.156149251,4.497648524,Negative,Stimulated
264,Antibacterial+Antifungal,Xanthomonadaceae,Gammaproteobacteria,19,17.57894737,7.544797983,1.730895366,3.636476224,Negative,Stimulated
265,Negative Control,Xanthomonadaceae,Gammaproteobacteria,20,32.5,14.4057737,3.221228925,6.742109626,Negative,Stimulated
61,Positive Control,Chthoniobacter,Verrucomicrobia,18,4.388888889,2.118237027,0.499273255,1.053374492,Negative,Stimulated
62,Antibacterial+Antifungal,Chthoniobacter,Verrucomicrobia,19,6.526315789,2.969631871,0.681280275,1.431316745,Negative,Stimulated
63,Antibacterial,Chthoniobacter,Verrucomicrobia,21,6.761904762,2.773170783,0.605155477,1.262332206,Negative,Stimulated
64,Antifungal,Chthoniobacter,Verrucomicrobia,17,7.117647059,2.934330267,0.711679625,1.508693409,Negative,Stimulated
65,Negative Control,Chthoniobacter,Verrucomicrobia,20,15.1,3.823748505,0.855016159,1.789569387,Negative,Stimulated
71,Positive Control,DA101 soil group,Verrucomicrobia,18,3.444444444,1.722591147,0.406018627,0.856624425,Negative,Stimulated
72,Antibacterial,DA101 soil group,Verrucomicrobia,21,5.571428571,3.613466875,0.788523118,1.644830401,Negative,Stimulated
73,Negative Control,DA101 soil group,Verrucomicrobia,20,9.65,5.00815125,1.119856664,2.343886935,Negative,Stimulated
74,Antifungal,DA101 soil group,Verrucomicrobia,17,13.35294118,6.594895531,1.59949711,3.390782399,Negative,Stimulated
75,Antibacterial+Antifungal,DA101 soil group,Verrucomicrobia,19,19.68421053,8.007306605,1.837002121,3.859398244,Negative,Stimulated
91,Negative Control,FukuN18 freshwater group,Verrucomicrobia,20,0.4,0.50262469,0.112390297,0.235235596,Positive,Inhibited
92,Antifungal,FukuN18 freshwater group,Verrucomicrobia,17,138.4117647,134.5845732,32.64155359,69.19700243,Positive,Inhibited
93,Antibacterial,FukuN18 freshwater group,Verrucomicrobia,21,153.3333333,94.37655076,20.59465179,42.95969085,Positive,Inhibited
94,Antibacterial+Antifungal,FukuN18 freshwater group,Verrucomicrobia,19,161.1052632,137.6912386,31.58853656,66.36505267,Positive,Inhibited
95,Positive Control,FukuN18 freshwater group,Verrucomicrobia,18,163.3888889,100.9962951,23.80505506,50.22427599,Positive,Inhibited
141,Positive Control,OPB35 soil group,Verrucomicrobia,36,6.666666667,2.354327323,0.392387887,0.796589761,Negative,Stimulated
142,Antifungal,OPB35 soil group,Verrucomicrobia,34,6.882352941,3.699014659,0.63437578,1.29064723,Negative,Stimulated
143,Antibacterial,OPB35 soil group,Verrucomicrobia,42,9.595238095,4.701113121,0.725397503,1.464969977,Negative,Stimulated
144,Antibacterial+Antifungal,OPB35 soil group,Verrucomicrobia,38,10.26315789,2.777167627,0.450516079,0.912832284,Negative,Stimulated
145,Negative Control,OPB35 soil group,Verrucomicrobia,40,36.2,10.02356199,1.584864307,3.205690643,Negative,Stimulated
